what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1300785867771
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300785869076
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300785869076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300785870058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300785870455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300785892137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785893875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785896119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785951857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785953651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785968839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785970578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785973184
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785974161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785979529
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300785983546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785983715
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300785985105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785990402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785991693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300785998181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786000930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786018486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786020749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786022532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786024032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786029960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786032898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786037028
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300786038770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786038856
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300786040258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786042945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300786044949
